Missing Docstring for method 'if_ready',in Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'
Missing Docstring for method 'retire',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method 'update',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method '_default_handle_error',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method '_handle_bad_argument',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method '_handle_check_failure',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method '_handle_command_on_cooldown',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method '_handle_max_concurrency',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method '_handle_missing_attachment',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method '_handle_not_allowed_channel',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method '_handle_not_necessary_dm_id',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method '_handle_not_necessary_role',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method '_handle_not_text_channel',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for method 'error_message_embed',in Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

