Missing Docstring for method 'if_ready',in Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'
Missing Docstring for method 'update',in Class 'GiveAwayCog', in module 'give_away_cog', with path 'antipetros_discordbot/cogs/community_events_cogs/give_away_cog.py'

Missing Docstring for method '_apply_overwrites',in Class 'GeneralDebugCog', in module 'general_debug_cog', with path 'antipetros_discordbot/cogs/dev_cogs/general_debug_cog.py'

Missing Docstring for method '_eject',in Class 'GeneralDebugCog', in module 'general_debug_cog', with path 'antipetros_discordbot/cogs/dev_cogs/general_debug_cog.py'

Missing Docstring for method '_inject',in Class 'GeneralDebugCog', in module 'general_debug_cog', with path 'antipetros_discordbot/cogs/dev_cogs/general_debug_cog.py'

Missing Docstring for method 'emoji_tester',in Class 'GeneralDebugCog', in module 'general_debug_cog', with path 'antipetros_discordbot/cogs/dev_cogs/general_debug_cog.py'

Missing Docstring for method 'on_ready_setup',in Class 'GeneralDebugCog', in module 'general_debug_cog', with path 'antipetros_discordbot/cogs/dev_cogs/general_debug_cog.py'

Missing Docstring for method 'update',in Class 'GeneralDebugCog', in module 'general_debug_cog', with path 'antipetros_discordbot/cogs/dev_cogs/general_debug_cog.py'

Missing Docstring for method '_eject',in Class 'PurgeMessagesCog', in module 'purge_messages_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/purge_messages_cog.py'

Missing Docstring for method '_inject',in Class 'PurgeMessagesCog', in module 'purge_messages_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/purge_messages_cog.py'

Missing Docstring for method 'on_ready_setup',in Class 'PurgeMessagesCog', in module 'purge_messages_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/purge_messages_cog.py'

Missing Docstring for method 'update',in Class 'PurgeMessagesCog', in module 'purge_messages_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/purge_messages_cog.py'

Missing Docstring for method '_attachment_scanner_exclusion_check',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method '_eject',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method '_handle_forbidden_attachment',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method '_inject',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method 'attachment_scanner_listener',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method 'check_link',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method 'cog_after_invoke',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method 'cog_before_invoke',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method 'cog_check',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method 'cog_command_error',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method 'cog_unload',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method 'on_ready_setup',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method 'update',in Class 'SecurityCog', in module 'security_cog', with path 'antipetros_discordbot/cogs/discord_admin_cogs/security_cog.py'

Missing Docstring for method '_eject',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_get_stamp_image',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_get_stamps',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_inject',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_send_image',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_stamp_resize',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_to_bottom_center',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_to_bottom_left',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_to_bottom_right',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_to_center_center',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_to_center_left',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_to_center_right',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_to_top_center',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_to_top_left',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_to_top_right',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method 'get_avatar_from_user',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method 'map_image_handling',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method 'on_ready_setup',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method 'update',in Class 'ImageManipulatorCog', in module 'image_manipulation_cog', with path 'antipetros_discordbot/cogs/general_cogs/image_manipulation_cog.py'

Missing Docstring for method '_eject',in Class 'KlimBimCog', in module 'klimbim_cog', with path 'antipetros_discordbot/cogs/general_cogs/klimbim_cog.py'

Missing Docstring for method '_inject',in Class 'KlimBimCog', in module 'klimbim_cog', with path 'antipetros_discordbot/cogs/general_cogs/klimbim_cog.py'

Missing Docstring for method 'cog_unload',in Class 'KlimBimCog', in module 'klimbim_cog', with path 'antipetros_discordbot/cogs/general_cogs/klimbim_cog.py'

Missing Docstring for method 'on_ready_setup',in Class 'KlimBimCog', in module 'klimbim_cog', with path 'antipetros_discordbot/cogs/general_cogs/klimbim_cog.py'

Missing Docstring for method 'update',in Class 'KlimBimCog', in module 'klimbim_cog', with path 'antipetros_discordbot/cogs/general_cogs/klimbim_cog.py'

Missing Docstring for method '_add_suggestion',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_change_category',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_change_votes',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_clear_suggestions',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_collect_title',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_eject',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_inject',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_new_suggestion',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_remove_previous_categories',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_row_to_json_user_data',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_set_category',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_suggestion_listen_checks',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'categories_emojis',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'get_category_name',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'make_add_success_embed',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'make_already_saved_embed',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'make_changed_category_embed',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'messages_to_watch',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'on_ready_setup',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'saved_messages',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'specifc_reaction_from_message',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'suggestion_reaction_listener',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method 'update',in Class 'SaveSuggestionCog', in module 'save_suggestion_cog', with path 'antipetros_discordbot/cogs/general_cogs/save_suggestion_cog.py'

Missing Docstring for method '_add_item_to_registered_items',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_eject',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_get_fresh_item_data',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_get_image_link',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_get_item_size',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_get_requirements',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_get_title',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_get_updated',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_inject',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_parse_update_date',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_remove_item_from_registered_items',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_update_item_in_registered_items',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method 'cog_unload',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method 'notify_update',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method 'on_ready_setup',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method 'update',in Class 'SteamCog', in module 'steam_cog', with path 'antipetros_discordbot/cogs/general_cogs/steam_cog.py'

Missing Docstring for method '_eject',in Class 'TranslateCog', in module 'translate_cog', with path 'antipetros_discordbot/cogs/general_cogs/translate_cog.py'

Missing Docstring for method '_emoji_translate_checks',in Class 'TranslateCog', in module 'translate_cog', with path 'antipetros_discordbot/cogs/general_cogs/translate_cog.py'

Missing Docstring for method '_inject',in Class 'TranslateCog', in module 'translate_cog', with path 'antipetros_discordbot/cogs/general_cogs/translate_cog.py'

Missing Docstring for method '_translate_text',in Class 'TranslateCog', in module 'translate_cog', with path 'antipetros_discordbot/cogs/general_cogs/translate_cog.py'

Missing Docstring for method 'cog_unload',in Class 'TranslateCog', in module 'translate_cog', with path 'antipetros_discordbot/cogs/general_cogs/translate_cog.py'

Missing Docstring for method 'emoji_translate_listener',in Class 'TranslateCog', in module 'translate_cog', with path 'antipetros_discordbot/cogs/general_cogs/translate_cog.py'

Missing Docstring for method 'get_emoji_name',in Class 'TranslateCog', in module 'translate_cog', with path 'antipetros_discordbot/cogs/general_cogs/translate_cog.py'

Missing Docstring for method 'on_ready_setup',in Class 'TranslateCog', in module 'translate_cog', with path 'antipetros_discordbot/cogs/general_cogs/translate_cog.py'

Missing Docstring for method 'translate_embed',in Class 'TranslateCog', in module 'translate_cog', with path 'antipetros_discordbot/cogs/general_cogs/translate_cog.py'

Missing Docstring for method 'update',in Class 'TranslateCog', in module 'translate_cog', with path 'antipetros_discordbot/cogs/general_cogs/translate_cog.py'

Missing Docstring for method '_eject',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method '_get_text_dimensions',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method '_inject',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method '_make_number_image',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method '_make_perfect_fontsize',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method '_make_toc',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method '_number_with_emojis',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method '_transform_raw_faq_data',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method 'cog_after_invoke',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method 'cog_before_invoke',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method 'cog_check',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method 'cog_command_error',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method 'cog_unload',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method 'make_faq_embed',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method 'on_ready_setup',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method 'process_template_faq_data',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method 'update',in Class 'FaqCog', in module 'faq_cog', with path 'antipetros_discordbot/cogs/special_channels_cogs/faq_cog.py'

Missing Docstring for method '_call_before_identify_hook',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_call_module_finalizers',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_get_bot_info',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_get_state',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_get_websocket',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_handle_ready',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_load_from_module_spec',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_remove_module_references',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_run_event',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_schedule_event',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_setup',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_start_sessions',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method '_syncer',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'activity_from_config',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'add_to_feature_suggestions',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'all_cog_commands',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'before_update_check_loop',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'blacklisted_user_ids',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'can_run',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'close',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'create_doc_json',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'debug_function',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'dispatch',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'execute_in_thread',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'get_antistasi_emoji',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'get_intents',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'handle_previous_shutdown_msg',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'message_creator',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'not_implemented',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'on_message',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'on_ready',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'recursively_remove_all_commands',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'run',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'save_feature_suggestion_extra_data',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'send_startup_message',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'set_delayed_bot_attributes',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'split_to_messages',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'sync_channel_from_name',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'to_all_cogs',in Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for method 'convert',in Class 'DateOnlyConverter', in module 'converters', with path 'antipetros_discordbot/utility/converters.py'

Missing Docstring for method 'convert',in Class 'DateTimeFullConverter', in module 'converters', with path 'antipetros_discordbot/utility/converters.py'

Missing Docstring for method 'convert',in Class 'FlagArg', in module 'converters', with path 'antipetros_discordbot/utility/converters.py'

Missing Docstring for method 'convert',in Class 'LanguageConverter', in module 'converters', with path 'antipetros_discordbot/utility/converters.py'

Missing Docstring for method '_converted_size',in Class 'FileSystemWalkerItem', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for method '_size',in Class 'FileSystemWalkerItem', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for method 'delete',in Class 'FileSystemWalkerItem', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for method 'exists',in Class 'FileSystemWalkerItem', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for method 'is_dir',in Class 'FileSystemWalkerItem', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for method 'is_file',in Class 'FileSystemWalkerItem', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for method 'add_suggestion',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'category_emojis',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'clear',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'get_all_message_ids',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'get_all_non_discussed_message_ids',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'get_all_suggestion_not_discussed',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'get_suggestion_by_id',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'get_suggestions_per_author',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'mark_discussed',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'remove_suggestion_by_id',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'update_category',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'update_votes',in Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for method 'capitalize',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'casefold',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for method 'center',in Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

