Missing Docstring for function 'get_class', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'
Missing Docstring for function 'limit_amount_files_absolute', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'linereadit', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'loadjson', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'writejson', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function '_check_convert_value_type', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'async_date_today', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'async_load_json', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'async_seconds_to_pretty_normal', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'async_split_camel_case_string', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'casefold_contains', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'casefold_list', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'check_if_int', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'color_hex_embed', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'convert_to_rgb', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'date_today', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'datetime_isoformat_to_discord_format', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'day_to_second', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'generate_base_cogs_config', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'generate_help_data', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'handle_arguments_string', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'hour_to_second', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'image_to_url', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for function 'is_even', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

